Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2023,11,Male,17,Right-Handed,6'0,25.4,81.28,3,Car,10,0.0299,48,Basketball,,,,,,,25.4,Left foot,3.6,3.12,Index finger,November,Spring,No,No,Seafood,Water,Physical education,6,8,5,Yes - broadband connection,Text messaging,5,4,20,3,10,20,6,3,6,2,40,9,16,7,A lot,Undergraduate degree,Rap/Hip hop,Freeze time,Healthy,Religious figure,Religious
USA,CA,2023,12,Female,18,Right-Handed,163,21,,1,Car,10,0.372,39,Walking/Hiking,500,100,500,500,1000,1000,21,Same length,90,90,Same length,January,Summer,Yes,No,Pizza/Pasta,Tea,English,7,10,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,15,5,1,5,10,1,0,8,2,5,5,18,0,Very little,Graduate degree,Pop,Telepathy,Rich,Musician or singer,Health
USA,NC,2023,11,Female,17,Left-Handed,179,24,179,1,Car,5,0.325,37,Hockey (Field),,,,,,,24,Same length,76.2,88.9,Index finger,October,Fall,Yes,No,Fruit,Water,History,7,9,5,Yes - other,Internet chat or instant messaging,10,6,18,1,5,14,13,0,5,3,24,4,16,3,A lot,Graduate degree,Country,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,OH,2023,12,Female,17,Right-Handed,170,23,169,2,Car,8,0.429,44,Walking/Hiking,900,1000,777,777,10,500,24,Left foot,70,65,Index finger,December,Summer,Yes,No,Fruit,Sports drink,Art,8,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",25,30,10,21,18,5,1,30,30,10,40,5,30,3,Very little,Graduate degree,Country,Invisibility,Rich,Actor,Other
USA,TX,2023,12,Male,17,Right-Handed,177.8,30,181,1,Car,8min,0.304,30,Other,1000,800,10000,10000,400,900,30,Same length,10,12,Ring finger,June,Winter,No,No,Meat,Water,Other,7,9,2,Yes - broadband connection,Cell phone,50,70,2,2,0,2,16,5,24,1,6,1,10,2,Very little,Graduate degree,Rap/Hip hop,Super strength,Healthy,Sports person,"Wildlife, animals"
USA,IN,2023,12,Male,18,Ambidextrous,166,30,169,1,Other,10 mi,0.001,50,Martial Arts,5,10,10,10,10,10,30,Same length,8.56,8.56,Same length,March,Summer,Yes,No,Other,Water,Other,8,0,5,Yes - other,Other,100,100,2,15 mi,3,,,,,,,,,,A lot,,Other,Freeze time,Rich,Other,Other
USA,WA,2023,11,Male,16,Right-Handed,169,29.5,169,1,Car,7,0.526,37,Swimming,600,100,100,100,600,800,29.5,Same length,90,85,Index finger,August,Winter,No,No,Seafood,Water,Science,7,9,4,Yes - other,Text messaging,20,15,15,1,3,5,0,10,20,3,50,5,25,1,Some,Some college,Reggae,Freeze time,Happy,Actor,"Wildlife, animals"
USA,NC,2023,11,Female,17,Right-Handed,165,24,163,1,Car,,0.29,36,Dancing,950,950,500,950,900,1000,25,Left foot,64,76,Ring finger,January,Summer,Yes,No,Fruit,Other,Mathematics and statistics,6,8,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",40,80,60,2,15,6,20,4,20,4,30,10,0,2,A lot,Graduate degree,Country,Invisibility,Happy,Coach or club leader,Health
USA,PA,2023,11,Male,17,Ambidextrous,130,60,60,3,Bus,3,0.1,0.5,Table Tennis,1,1,1,1,1,1,50,Left foot,100,105,Ring finger,April,Summer,No,Yes,Meat,Soft drink (caffeinated),Physical education,7,7,5,Yes - other,Text messaging,51,64,4,1,1,2,1,2,3,1,1,1,5,1,None,Undergraduate degree,Rap/Hip hop,Fly,Rich,Sports person,Other
USA,CA,2023,12,Female,17,Right-Handed,177.8,25,175,1,Car,19,0.388,32,Other,500,700,500,700,750,750,25,Same length,76,82,Ring finger,September,Winter,No,No,Pizza/Pasta,Water,Art,7,7,3,Yes - broadband connection,Text messaging,15,25,3,2,3,5,1,0,2,1,4,1,10,3,A lot,Undergraduate degree,Pop,Telepathy,Rich,Business person,"Arts, culture, sports"
USA,SC,2023,11,Male,17,Right-Handed,177,27,180,1,Bus,25,0.5,37,Soccer,500,800,700,700,600,600,27,Same length,105,105,Same length,May,Fall,Yes,No,Poultry,Water,History,6,10,4,No internet connection,Telephone,10,10,8,1,3,2,4,1,2,1,4,2,3,3,A lot,Graduate degree,Classical,Telepathy,Healthy,Musician or singer,Religious
USA,NY,2023,12,Male,18,Right-Handed,,,,2,Rail (Train/Tram/Subway),40,0.327,39,Basketball,930,385,578,610,888,1000,,,,,,April,Summer,Yes,No,Pizza/Pasta,Tea,Other,7,8,4,Yes - broadband connection,In person,100,100,25,2,30,80,5,30,70,5,70,0,0,4,Very little,Graduate degree,Punk rock,Telepathy,Rich,Friend,Education/Youth development
USA,CA,2023,12,Female,18,Right-Handed,155,23,155,1,Car,8,0.277,36,Dancing,647,235,433,861,1000,1000,23,Same length,76,70,Index finger,December,Fall,Yes,No,No favorite,Water,Music,5,9,4,Yes - broadband connection,Internet chat or instant messaging,40,30,3,0.5,6,5,10,14,70,70,200,3,30,4,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Musician or singer,International aid
USA,AL,2023,12,Female,18,Right-Handed,155,?,?,2,Car,10,0.373,41,Martial Arts,800,800,800,800,600,600,?,Same length,?,?,Ring finger,November,Fall,Yes,No,No favorite,Water,Science,10,10,6,Yes - broadband connection,Other,4,5,2,1,3,1,0,10,4,4,10,2,0,0,A lot,Undergraduate degree,Pop,Freeze time,Rich,Friend,Health
USA,CA,2023,12,Female,18,Left-Handed,157,20,150,3,Car,15,10,10,Walking/Hiking,500,500,500,500,500,500,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2023,12,Female,17,Right-Handed,163,24,163,2,Car,4,0.309,47,Other,775,652,663,519,299,1000,23,Right foot,70,80,Ring finger,May,Fall,Yes,No,Rice/Noodle dishes,Coffee,English,4,4,4,Yes - broadband connection,In person,50,50,20,1,12,1,0,0,4,4,5,0,20,4,A lot,Undergraduate degree,Jazz,Fly,Happy,Musician or singer,"Arts, culture, sports"
USA,VA,2023,12,Female,18,Right-Handed,175.3,25,68,1,Car,55,0.375,49,Soccer,1000,1000,1000,1000,200,800,24,Same length,80,80,Same length,January,Winter,No,No,Seafood,Water,Art,8,7,4,Yes - other,Text messaging,10,20,5,1,8,3,1,5,5,2,7,3,1,4,A lot,Graduate degree,Rock and roll,Fly,Happy,Musician or singer,Environment
USA,MA,2023,10,Female,16,Right-Handed,160,22,170,1,Car,8,0.326,38,Other,572,626,428,326,674,888,22,Same length,76,76,Same length,September,Summer,No,No,Breads/Sandwiches,Water,History,6,11,5,Yes - broadband connection,Text messaging,32,43,4,1,8,2,7,1,20,2,40,1,0,1,A lot,Graduate degree,Rap/Hip hop,Invisibility,Rich,Relative,Health
USA,WA,2023,12,Female,16,Right-Handed,152.4,21,144,1,Bus,10-May,0.45,39,Walking/Hiking,1000,1000,1000,1000,21,96,21,Same length,6 1/2,7,Ring finger,June,Spring,Yes,No,Rice/Noodle dishes,Water,Other,6,8,7,Yes - broadband connection,In person,10,10,9,1,3,10,0,0,20,20,6,5,0,2,Very little,Some college,Rhythm and blues (R&B),Invisibility,Healthy,Friend,"Wildlife, animals"
USA,SC,2023,11,Female,17,Right-Handed,170.2,21.62,5.25,q,Car,22,0.328,34,Swimming,663,728,547,482,884,927,259.1,Right foot,32.9,32.9,Same length,June,Summer,No,No,Rice/Noodle dishes,Energy drink,History,5,7,4,Yes - other,Internet chat or instant messaging,100,100,10,24,15,14,9,18,19,39,100,40,35,15,Some,High school,Pop,Telepathy,Happy,Relative,Health
