Year,Grade,State,Gender,Age,Height,Armspan,RightFoot,IndexFinger,TransMethod,CommuteTime,ReactionTime,MemoryTime,FavPhysAct,BirthMonth,FavSeason,FavSubj,SchoolNight,NonschoolNight,HomeOcc,PlannedEd,Superpower,RoleModel,Height_cm,Armspan_cm
2021,12,MA,Male,18,70.87,73.23,28.5,50,Car,7,1,55,Baseball/Softball,July,Fall,Mathematics and statistics,5,4,5,High school,Telepathy,Other,180,186
2021,12,IL,Male,18,70.98,69,25,80,Car,3,0,31,Football (American),October,Fall,Other,7,10,3,Graduate degree,Telepathy,Sports person,180.3,175.26
2018,12,CA,Female,16,64.17,63.78,23,68,Bus,35,0,41,Other,February,Fall,Art,6,9,4,Graduate degree,Freeze time,Relative,163,162
2018,12,MO,Male,17,69.29,72.44,26,100,Car,18,0,53,Baseball/Softball,September,Fall,Science,8,10,4,Graduate degree,Super strength,Business person,176,184
2018,10,NC,Female,14,64.96,63.78,25,75,Car,7,0,39,Golf,June,Summer,Other,7,8,5,Graduate degree,Invisibility,Relative,165,162
2021,12,NC,Male,17,71.97,71.97,30,88.9,Car,10,0,59,Football (American),July,Fall,Physical education,9,10,3,Graduate degree,Invisibility,Relative,182.8,182.8
2021,12,IN,Male,17,70.08,59.06,30,100,Bus,10,1,70,Basketball,January,Summer,Art,7,11,6,Graduate degree,Fly,Musician or singer,178,150
2019,12,DE,Male,17,68.9,70,26,75,Car,15,0,60,Football (American),September,Summer,Physical education,6,9,7,Some college,Super strength,Sports person,175,177.8
2018,10,FL,Female,19,71.97,53.84,19.1,95,Car,20,1,39,Other,February,Winter,Other,5,10,2,Other,Telepathy,Community leader or elder,182.8,136.7536
2021,11,WA,Male,16,66.93,66.93,26,80,Car,10,0,55,Lacrosse,April,Winter,Other,6,8,2,Other,Freeze time,Other,170,170
2020,12,OH,Male,15,66.14,60.24,27,70,Walk,10,0,65,Basketball,April,Summer,Social studies,7,10,5,Graduate degree,Freeze time,Relative,168,153
2019,11,NC,Female,15,72.05,72.44,26,80,Car,15,0,53,Other,July,Winter,Science,7,12,4,Graduate degree,Fly,Musician or singer,183,184
2018,12,NC,Male,17,71.26,70.47,26.2,78,Walk,4,0,44,Table Tennis,June,Winter,Computers and technology,7,9,6,Graduate degree,Freeze time,Doctor or nurse,181,179
2020,12,IN,Male,17,70,75,27.31,114.3,Bus,11,0,36,None,November,Summer,Mathematics and statistics,9,10,5,High school,Telepathy,Friend,177.8,190.5
2021,11,NC,Female,17,64.96,68.9,24,66,Car,5,0,39,Swimming,May,Summer,Computers and technology,7,10,4,Graduate degree,Freeze time,Relative,165,175
2019,12,IA,Male,17,68.5,70.47,26,90,Car,7,0,50,Football (American),September,Fall,Physical education,8,8,5,Graduate degree,Fly,Relative,174,179
2019,12,CA,Female,18,59.84,59.06,21,70,Car,10,0,50,Lacrosse,June,Summer,Other,6,10,3,Graduate degree,Freeze time,Relative,152,150
2019,11,NC,Male,16,66.54,66.93,25,78,Car,15,1,35,Basketball,August,Fall,History,7,6,3,Graduate degree,Invisibility,Relative,169,170
2021,9,MO,Male,17,73.03,73.62,26.7,77,Car,18,0,45,Soccer,March,Spring,History,6,8,4,Undergraduate degree,Fly,Relative,185.5,187
2019,12,OH,Female,17,62.99,65.75,21.5,70,Car,12,1,45,Skateboarding/Rollerblading,January,Fall,Social studies,5,10,3,Graduate degree,Invisibility,Relative,160,167
2021,11,IN,Male,16,66.93,68.5,27,105,Car,5,0,32,Baseball/Softball,October,Fall,Science,7,6,4,Graduate degree,Telepathy,Coach or club leader,170,174
2021,9,MI,Female,14,64.17,66.93,24,66,Car,25,0,47,Baseball/Softball,May,Fall,History,9,11,5,Graduate degree,Telepathy,Relative,163,170
2021,12,NC,Male,18,70.08,69.29,27,77.5,Car,12,0,52,Other,May,Spring,Music,6,11,4,Undergraduate degree,Freeze time,Friend,178,176
2021,12,AZ,Male,18,70,71.89,26.67,76,Car,8,0,55,Walking/Hiking,July,Winter,History,5,9,4,Graduate degree,Telepathy,Relative,177.8,182.6
2019,12,PA,Male,17,70.87,70.87,40,65,Car,10,1,44,Golf,April,Summer,Physical education,7,11,4,Graduate degree,Telepathy,Sports person,180,180
2021,10,NC,Female,15,65,65,19,70,Car,20,0,37,Swimming,July,Summer,Science,8,6,5,Other,Telepathy,Friend,165.1,165.1
2018,9,TN,Male,14,65,62.99,24,76.2,Car,8,0,39,Basketball,October,Fall,Mathematics and statistics,7,12,4,Graduate degree,Telepathy,Sports person,165.1,160
2019,12,NY,Female,17,62.99,60.24,23,90,Car,5,1,41,Other,April,Fall,Mathematics and statistics,8,10,4,Graduate degree,Freeze time,Relative,160,153
2018,12,KS,Female,17,64.17,64.17,24,76,Car,8,0,39,Dancing,November,Fall,Art,6,10,5,Graduate degree,Invisibility,Friend,163,163
2020,10,NY,Male,16,70,70,25.4,76.2,Walk,15,0,23,Dancing,December,Spring,History,5,8,3,High school,Freeze time,Religious figure,177.8,177.8
2022,11,IN,Female,17,63.78,61.81,23,90,Car,10,0,36,Golf,January,Summer,Other,9,6,4,Undergraduate degree,Telepathy,Friend,162,157
2021,12,TX,Female,17,63.39,61.42,23,70,Car,5,1,60,Dancing,September,Summer,Other,7,5,3,Graduate degree,Fly,Doctor or nurse,161,156
2018,11,NJ,Male,15,70.47,69.29,26,78,Bus,15,0,55,Hockey (Ice),December,Winter,Mathematics and statistics,8,10,3,Graduate degree,Freeze time,Relative,179,176
2018,11,VA,Male,17,71.65,72.83,26.3,82,Car,8,0,38,Walking/Hiking,August,Summer,Mathematics and statistics,7.5,9,5,Graduate degree,Fly,Relative,182,185
2020,12,IN,Male,17,70.47,74.02,29,75,Car,10,1,74,Bowling,November,Fall,History,8,7,5,Undergraduate degree,Fly,Relative,179,188
2019,12,WI,Male,17,70.87,70.87,26,75,Car,30,0,51,Running/Jogging,June,Summer,Science,6,8,4,Graduate degree,Fly,Relative,180,180
2019,12,CO,Male,17,70.47,66.14,30,95,Car,20,0,42,Football (American),July,Summer,Other,8,10,4,Some college,Telepathy,Relative,179,168
