
Descriptive statistics
==============================================
Statistic        N    Mean St. Dev. Min   Max 
----------------------------------------------
Grade          10,717 11.5   0.9     9    12  
Age            10,717 16.6   1.0     14   19  
Height         10,717 66.8   4.5    40.0 90.2 
Armspan        10,717 66.1   6.5    39.4 90.0 
RightFoot      10,717 24.8   3.4    10.0 45.0 
IndexFinger    10,717 79.1   13.5   40.0 130.0
CommuteTime    10,717 15.6   13.0    1    120 
ReactionTime   10,717 0.3    0.5     0     5  
MemoryTime     10,717 44.4   11.5    1    118 
SchoolNight    10,717 6.7    1.2    4.0  12.0 
NonschoolNight 10,717 8.8    1.8    4.0  15.0 
HomeOcc        10,717 4.2    1.3     1    12  
----------------------------------------------
